,seed,classifier,num_features_picked,AUC,OASIS_score,Heart_rate,Apache3_score,SOFA_score,Glasgow_coma_scale,Blood_presure,Diastolic,Oxygen_saturation,Respiration_rate,BMI,Age,Gender,Myocardial_infarction,Congestive_heart_failure,Cerebro_vascular_accident,Kidney_disease_severity,Cormorbility_score,Diabetes_mellitus,Prior_cancer,Prior_lung_disease,RESPsofa,COAGsofa,LIVERsofa,CVsofa,CNSsofa,RENALsofa,Ventilation,Previous_Dialysis,On_dialysis,On_intra-aortic_balloon_pump,Pre-anesthesia_checkup,Packed_red_blood_cells,Cardiogenic_shock,Cardiomyopathy,Heart_failure,Irregular_heartbeat,Cardiac_arrest,Acute_coronary_syndrome,Coronary_artery_disease,Angiogram_hospital_stay,Coronary_stent
1276,39,RF,36,0.8899016653203256,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,False,True,True,True,True,True,True,True
1277,39,RF,41,0.8967854812651463,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1278,40,RF,1,0.49642119244391975,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1279,40,RF,6,0.8726231902069224,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1280,40,RF,11,0.8676948051948052,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1281,40,RF,16,0.8809497918349594,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1282,40,RF,21,0.8850839650779843,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,True,True,False,True,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False
1283,40,RF,26,0.8823673336233144,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,True,False,True,True,True,False,True,True,False
1284,40,RF,31,0.8884802398558379,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,False,True,True,True,True,True,True,True,False,False,False,False,True,True,False,True,True,True,True,True,True,False
1285,40,RF,36,0.8905949015099732,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,False
1286,40,RF,41,0.892259056732741,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1287,41,RF,1,0.5116490865593737,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1288,41,RF,6,0.8734193438140807,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1289,41,RF,11,0.8762874386379171,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1290,41,RF,16,0.8970379202137576,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1291,41,RF,21,0.9104035916236872,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,True,True,False,True,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False
1292,41,RF,26,0.9092346051078108,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,True,True,False,True,True,True,True,False,False,False,False,True,True,False,True,True,True,True,True,True,False
1293,41,RF,31,0.9105026253650657,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False,False,True,True,True,True,True,True,True,False,True,False,False,True,True,False,True,True,True,True,True,True,True
1294,41,RF,36,0.9077257969303424,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True
1295,41,RF,41,0.9111007114894674,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1296,42,RF,1,0.5083071832473747,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1297,42,RF,6,0.8658869539551358,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1298,42,RF,11,0.8631509041198036,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1299,42,RF,16,0.8735397377741876,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1300,42,RF,21,0.8858801186851427,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,True,True,False,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False
1301,42,RF,26,0.883528552786926,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,False,False,False,True,True,False,True,True,True,True,False,False,False,False,False,True,False,True,True,True,False,True,True,False
